file,jd,minutes,set,target_flux_rate,bright_comp_ensemble_flux_rate,diff_flux,diff_flux_err,n_bright_comps,good,reject_reason
light_V0399_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.6946113426,32.2948332130909,V0399_named,241749.15566825867,22735.71443462372,10.633013374767947,4.034435874025263,3,True,ok
light_V0399_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6948032407,32.5711664557457,V0399_named,238632.84550857544,21980.769333839417,10.856437365056188,3.783280466504506,3,True,ok
light_V0399_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6949944445,32.846499904990196,V0399_named,233578.3048057556,21624.283539772034,10.801666763948564,3.895699473463777,3,True,ok
light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,33.122499883174896,V0399_named,205907.8310699463,19327.865447998047,10.653418072675683,3.600293211062522,3,True,ok
light_V0399_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.695378125,33.399000093340874,V0399_named,241943.8330478668,22987.942055225372,10.524814812332046,3.891287731415711,3,True,ok
light_V0399_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.695569792,33.675000071525574,V0399_named,239898.8376083374,22221.857511520386,10.795624869971721,3.684672394073447,3,True,ok
light_V0399_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.695762153,33.951999843120575,V0399_named,250873.67641448975,23310.9450674057,10.762055150019266,3.819533128642305,3,True,ok
light_V0399_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.6959542823,34.228666350245476,V0399_named,182873.85451507568,16858.031356811523,10.847877231002132,3.92214660262208,3,True,ok
light_V0399_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.69614699,34.5061656832695,V0399_named,239068.60704612732,22189.109968662266,10.774141341575417,3.9818723706632837,3,True,ok
light_V0399_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.696338542,34.78200003504753,V0399_named,238322.09629440308,21958.542945861816,10.853274594857211,3.931861235890197,3,True,ok
light_V0399_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.6965310187,35.05916677415371,V0399_named,267027.10497283936,24152.662216186523,11.055804224922433,3.7440018063809,3,True,ok
light_V0399_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.696722801,35.33533304929733,V0399_named,253016.7399291992,23628.41096496582,10.708157239365384,4.046509987810709,3,True,ok
light_V0399_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.696914352,35.61116673052311,V0399_named,222051.34427261353,20303.186645507812,10.936773037140135,3.936672613045257,3,True,ok
light_V0399_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.697106134,35.88733300566673,V0399_named,244107.74700927737,22953.91014289856,10.634691235157554,4.258207182533765,3,True,ok
light_V0399_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6972972224,36.16250015795231,V0399_named,238742.98565673828,21774.519993305206,10.964328294269734,3.7725519203863813,3,True,ok
light_V0399_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.6974885417,36.43799990415573,V0399_named,230200.0648803711,21398.824768066406,10.757603156968695,3.9210652387063543,3,True,ok
light_V0399_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.697679977,36.71366661787033,V0399_named,234916.31085586548,21630.975833892822,10.86018091184695,3.871973604566182,3,True,ok
light_V0399_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6978716436,36.98966659605503,V0399_named,226104.6503982544,21687.045921325684,10.425792946558813,4.044314297679195,3,True,ok
light_V0399_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6980633102,37.26566657423973,V0399_named,234272.60078811648,21668.487099170685,10.811673178469519,3.8661376648683294,3,True,ok
light_V0399_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.698254977,37.54166655242443,V0399_named,235494.7014465332,21529.240684509277,10.938365402546518,3.586895041703082,3,True,ok
light_V0399_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.698446412,37.81733326613903,V0399_named,204334.7206993103,18909.09168958664,10.806162667868323,3.619507696903616,3,True,ok
light_V0399_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.698638773,38.09433303773403,V0399_named,236134.6334991455,22058.486738204956,10.70493349347324,4.225203837559419,3,True,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.6988304397,38.37033301591873,V0399_named,228602.5525817871,21229.387404441833,10.768212394765404,3.7590712892112754,3,True,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.6990222223,38.64649996161461,V0399_named,229403.2650527954,21133.7680683136,10.854820792546958,3.733167863505033,3,True,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.699213773,38.92233297228813,V0399_named,239345.4339542389,21951.677696228027,10.903286631042592,4.004984535516994,3,True,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.699405208,39.19799968600273,V0399_named,242748.7881679535,22645.14365530014,10.719684178781426,3.7600312326037577,3,True,ok
