flat,file,jd,object_id,role,flux_rate,flag,x,y,match_dist
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774290626745586944_src8,comparison,387.0719404220581,ok,1065.0899797556888,1434.453175350235,1.7572655752928141
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,HD_103405,comparison,15289.507953643799,ok,1151.4956492167178,152.60287953081203,1.896486371635348
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,TYC_3452_787_1,comparison,20322.9672870636,ok,358.09003668743003,756.6983188539166,3.202474822178497
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,HD_103187,comparison,78458.68887138367,ok,61.66775491141546,1515.7399466562972,4.2643036967736645
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,target,target,197853.26067352295,ok,1923.9878547855772,634.9458174580328,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,DN_UMa,check,298317.13817214966,ok,1849.3311162604086,689.42551944747,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774272862760870784_src1,comparison,3206.548656463623,ok,594.8060562761491,260.3551058437025,1.5753172124720325
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774271076054448768_src2,comparison,2131.532162666321,ok,1501.7430334652272,323.66988394275523,0.5694296785257208
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774384016513181696_src3,comparison,1433.605848789215,ok,385.53899470348387,1257.3133463550816,2.127323443074689
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774289041901756032_src4,comparison,1280.0594482421875,ok,2036.784326957846,1445.0443387898608,1.1129129303301124
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774287774887292672_src5,comparison,1261.8246002197266,ok,2028.9531419389725,1083.3490337102942,0.4753461844612364
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774289488578357504_src6,comparison,1111.2012076377869,ok,935.4078441424615,1102.9436120882833,1.0464697278056
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774288805679445888_src7,comparison,1004.827018737793,ok,1940.0479080122968,1354.2424891016663,1.1458412821821418
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,gaia_774290626745586944_src8,comparison,344.7728157043457,ok,1065.3364461509063,1435.8893085965003,0.27331267158456957
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,HD_103405,comparison,14362.715998649597,ok,1151.931814765529,153.60259558188255,1.115074594273732
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,TYC_3452_787_1,comparison,19164.93042755127,ok,358.45269066080266,757.7716169226278,2.1423533901047978
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,HD_103187,comparison,69609.8478050232,ok,62.01806141407128,1517.0008290246915,2.801574608113076
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,target,target,226050.49810028076,ok,1925.8153762995419,635.4853790827393,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,DN_UMa,check,318301.0873680115,ok,1851.0879273782966,690.055357391349,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774272862760870784_src1,comparison,3438.4616804122925,ok,596.7065765654214,261.01384855152673,2.8592562598435105
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774271076054448768_src2,comparison,2367.247266292572,ok,1503.6093364681196,324.18670286798596,0.8966213165138034
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774384016513181696_src3,comparison,1523.9074201583862,ok,387.6906373973859,1257.8820786388183,3.4516511340519473
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774289041901756032_src4,comparison,1444.1618113517761,ok,2038.8262699669178,1445.537826767408,1.6443960887036466
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774287774887292672_src5,comparison,1403.5345726013184,ok,2030.8566717163117,1083.9234323167998,0.7575257504003549
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,gaia_774289488578357504_src6,comparison,1234.5446877479553,ok,937.4504382050526,1103.4059297549588,2.0297952662712158
