sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm
V0399 named,light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,132.39612849632968,213253.86248779297,1610.7258188724518,4,True,ok,189.20058607459958,30.366166681051254,1.014927184267872,1.0006724067821473
V0399 named,light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,127.56355987738748,200717.47729492188,1573.4703350067139,4,True,ok,191.34205387791138,30.642166659235954,0.9778814993455952,1.0119985225476746
V0399 named,light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,128.43566494613333,232114.9378585815,1807.2467484474182,4,True,ok,188.56181830717108,30.918499901890755,0.9845669149378835,0.9972939961098067
V0399 named,light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,131.39018069043615,215924.53985214233,1643.3841457366943,4,True,ok,190.4182315727816,31.194332912564278,1.0072157520247134,1.0071124727277825
V0399 named,light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,128.1767046316413,224973.28406524655,1755.1807460784912,4,True,ok,189.87984513093764,31.469500064849854,0.9825817672918795,1.0042649738499174
V0399 named,light_V0399_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.6942291665,130.84356779176943,222195.4062194824,1698.1759972572327,4,True,ok,192.92038068724494,31.744499579072,1.0030255064606697,1.0203462138511352
V0399 named,light_V0399_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.694420139,130.56939289922414,227051.23852348328,1738.9315633773804,4,True,ok,189.22061816450787,32.0194997638464,1.000923726334254,1.0007783555005805
V0399 named,light_V0399_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.6946113426,129.42894469320015,241749.15566825867,1867.813696861267,4,True,ok,,32.2948332130909,0.9921812359027807,
V0399 named,light_V0399_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6948032407,130.62628769174196,238632.84550857544,1826.8363108634949,4,True,ok,,32.5711664557457,1.0013598725586599,
V0399 named,light_V0399_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6949944445,130.91614969886524,233578.3048057556,1784.182511806488,4,True,ok,187.69777166987868,32.846499904990196,1.0035819075536183,0.9927240967979172
V0399 named,light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,124.00960437197365,205907.8310699463,1660.4184176921844,4,True,ok,188.11221302121547,33.122499883174896,0.9506374545605323,0.9949160563109216
V0399 named,light_V0399_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.695378125,127.07579228788335,241943.8330478668,1903.9333038330078,4,True,ok,,33.399000093340874,0.9741423523492668,
V0399 named,light_V0399_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.695569792,128.9183325029067,239898.8376083374,1860.8589868545532,4,True,ok,,33.675000071525574,0.9882669659129166,
