file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,8.0,19079.094319287447,47.10085448491627,221125.41875839233,11.589932680130005,6,True,True,ok
light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.676976158,8.0,14.405943806250999,0.03402886848360787,227065.96070480347,15761.963517189026,3,True,True,ok
light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,8.0,23261.99711894728,76.03039628602902,197368.7423171997,8.484600067138672,5,True,True,ok
light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,8.0,23634.173774140847,104.11978448201505,172898.94860839844,7.315633296966553,6,True,True,ok
light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,8.0,27177.76332416005,66.4293902993733,224322.55504989624,8.253900527954102,7,True,True,ok
light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,8.0,25500.956118747894,88.4150647236717,193333.1411743164,7.58140754699707,7,True,True,ok
light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,8.0,19653.37977415037,59.90552212839544,207404.0467529297,10.553098201751709,6,True,True,ok
light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,8.0,13.765882506811545,0.07217784537614247,153637.23175048828,11160.725196838379,3,True,True,ok
light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,8.0,50956.61654173267,136.39301036139258,216752.25330352783,4.253662586212158,6,True,True,ok
light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,8.0,21887.270712627254,77.11465943799115,197608.60961914062,9.028471946716309,7,True,True,ok
light_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.678699537,8.0,20853.6905686325,55.61129993300249,216168.37565612793,10.365952968597412,8,True,True,ok
light_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.6788909724,8.0,33321.66384506023,95.99336562439521,213440.94636917114,6.405470848083496,7,True,True,ok
light_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.67908206,8.0,40392.374214763266,106.76502343359331,216479.81624603271,5.359422922134399,8,True,True,ok
light_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.6792738424,8.0,28.45836068139503,0.12070251266453128,178990.2028274536,6289.547203063965,4,True,True,ok
light_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.6794653935,8.0,33520.55686943842,80.4901794833343,227040.60580444336,6.773175239562988,7,True,True,ok
light_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.679657176,8.0,26086.622916452576,71.91631906362095,213038.4981994629,8.166580200195312,5,True,True,ok
light_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.679848843,8.0,23541.517039743187,75.65745644118904,198913.84814453125,8.449491500854492,6,True,True,ok
light_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.6800405094,8.0,35303.42365109814,116.58780979976194,196983.48907470703,5.579727649688721,8,True,True,ok
light_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.6802317128,8.0,39523.39640344019,136.90947154641475,192641.7296447754,4.874118804931641,6,True,True,ok
light_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6804236113,8.0,19501.469284306404,45.762361548565984,228688.0346069336,11.726707935333252,6,True,True,ok
light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,8.0,27283.713213610536,138.2713513552647,160770.29280090332,5.8925371170043945,5,True,True,ok
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,8.0,29.12742319878286,0.081755959315077,210633.095703125,7231.435965538025,4,True,True,ok
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,8.0,24996.855729496925,66.98754786389199,217711.79151535034,8.709567070007324,7,True,True,ok
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,8.0,22086.257846586435,136.2524098868256,143570.20705413818,6.500431537628174,8,True,True,ok
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,8.0,28.646819722243443,0.0773840475069422,215837.9758834839,7534.4480810165405,4,True,True,ok
light_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.6815721067,8.0,36336.40349194701,83.82984577400784,233171.63018798828,6.417025566101074,7,True,True,ok
light_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.6817636574,8.0,30021.66265872759,79.06042388640964,217706.64297485352,7.251651763916016,5,True,True,ok
light_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.681955324,8.0,20161.159010868276,58.1985867526166,205164.59022903442,10.17622995376587,7,True,True,ok
